Codigo,Nombre,Grupo,Creditos,Dia_1,Inicio_1,Fin_1,Dia_2,Inicio_2,Fin_2,REQUISITO_1,REQUISITO_2,REQUISITO_3,CORREQUISISTO
CE1101,Introducción a la programación,1,3,JUE,07:30,09:20,MAR,07:30,09:20,No hay,0,0,No hay
CE1101,Introducción a la programación,2,3,JUE,09:30,11:20,MAR,09:30,11:20,No hay,0,0,No hay
CE1103,Algoritmos y estructuras de datos I,3,4,JUE,09:30,11:20,MAR,09:30,11:20,CE1101,CE1104,MA1403,No hay
CE1103,Algoritmos y estructuras de datos I,2,4,JUE,15:00,16:50,MAR,15:00,16:50,CE1101,CE1104,MA1403,No hay
CE1103,Algoritmos y estructuras de datos I,1,4,MIE,17:00,18:50,VIE,17:00,18:50,CE1101,CE1104,MA1403,No hay
CE1104,Fundamentos de sistemas computacionales,1,3,JUE,07:30,09:20,MAR,07:30,09:20,No hay,0,0,CE1101
CE1105,Principios de modelado en Ingeniería,3,3,JUE,19:00,20:50,MAR,19:00,20:50,CE1104,0,0,No hay
CE1105,Principios de modelado en Ingeniería,1,3,JUE,17:00,18:50,MAR,17:00,18:50,CE1104,0,0,No hay
CE1105,Principios de modelado en Ingeniería,2,3,MIE,17:00,18:50,VIE,17:00,18:50,CE1104,0,0,No hay
CE1106,Paradigmas de programación,1,3,MIE,09:30,11:20,VIE,09:30,11:20,CE2103,0,0,No hay
CE1106,Paradigmas de programación,2,3,JUE,17:00,18:50,MAR,17:00,18:50,CE2103,0,0,No hay
CE2103,Algoritmos y estructuras de datos II,1,4,JUE,07:30,09:20,MAR,07:30,09:20,CE1103,CE1105,0,No hay
CE2201,Laboratorio de circuitos eléctricos,1,1,LUN,09:30,11:20,,,,FI1202,0,0,No hay
CE2201,Laboratorio de circuitos eléctricos,2,1,LUN,07:30,09:20,,,,FI1202,0,0,No hay
CI1407,Habilidades de comunicación en Ingeniería,1,2,LUN,09:30,12:20,,,,No hay,0,0,No hay
CI1407,Habilidades de comunicación en Ingeniería,3,2,MAR,13:00,15:50,,,,No hay,0,0,No hay
CI1407,Habilidades de comunicación en Ingeniería,2,2,JUE,13:00,15:50,,,,No hay,0,0,No hay
CI1407,Habilidades de comunicación en Ingeniería,4,2,VIE,07:30,10:20,,,,No hay,0,0,No hay
CS1502,Introducción a la técnica ciencia y tecnología,2,1,MIE,09:30,11:20,,,,No hay,0,0,No hay
CS1502,Introducción a la técnica ciencia y tecnología,3,1,MIE,17:00,18:50,,,,No hay,0,0,No hay
CS1502,Introducción a la técnica ciencia y tecnología,4,1,MAR,15:00,16:50,,,,No hay,0,0,No hay
CS1502,Introducción a la técnica ciencia y tecnología,5,1,MIE,09:30,11:20,,,,No hay,0,0,No hay
CS1502,Introducción a la técnica ciencia y tecnología,1,1,JUE,09:30,11:20,,,,No hay,0,0,No hay
CS2101,Ambiente humano,5,2,JUE,09:30,12:20,,,,No hay,0,0,No hay
CS2101,Ambiente humano,1,2,VIE,09:30,12:20,,,,No hay,0,0,No hay
CS2101,Ambiente humano,3,2,MIE,09:30,12:20,,,,No hay,0,0,No hay
CS2101,Ambiente humano,4,2,MIE,15:00,17:50,,,,No hay,0,0,No hay
CS2101,Ambiente humano,2,2,MAR,09:30,12:20,,,,No hay,0,0,No hay
CS2101,Ambiente humano,6,2,LUN,07:30,10:20,,,,No hay,0,0,No hay
CS2101,Ambiente humano,7,2,LUN,18:00,20:50,,,,No hay,0,0,No hay
CS2101,Ambiente humano,8,2,MAR,18:00,20:50,,,,No hay,0,0,No hay
EL2113,Circuitos eléctricos en corriente continua,4,4,LUN,07:30,09:20,MIE,07:30,09:20,FI1101,MA1102,0,No hay
EL2113,Circuitos eléctricos en corriente continua,2,4,JUE,09:30,11:20,MAR,09:30,11:20,FI1101,MA1102,0,No hay
EL2113,Circuitos eléctricos en corriente continua,3,4,LUN,07:30,11:20,,,,FI1101,MA1102,0,No hay
EL2113,Circuitos eléctricos en corriente continua,1,4,MIE,09:30,11:20,VIE,09:30,11:20,FI1101,MA1102,0,No hay
EL2114,Circuitos eléctricos en corriente alterna,1,4,MIE,17:00,18:50,VIE,17:00,18:50,EL2113,0,0,EL2207
EL2114,Circuitos eléctricos en corriente alterna,4,4,JUE,17:00,18:50,MAR,17:00,18:50,EL2113,0,0,EL2207
EL2114,Circuitos eléctricos en corriente alterna,2,4,JUE,09:30,11:20,MAR,09:30,11:20,EL2113,0,0,EL2207
EL2114,Circuitos eléctricos en corriente alterna,3,4,MIE,07:30,09:20,VIE,07:30,09:20,EL2113,0,0,EL2207
EL2207,Elementos activos,2,4,JUE,07:30,09:20,MAR,07:30,09:20,EL2113,0,0,No hay
EL2207,Elementos activos,4,4,MIE,17:00,18:50,VIE,09:30,11:20,EL2113,0,0,No hay
EL2207,Elementos activos,1,4,JUE,15:00,16:50,MAR,15:00,16:50,EL2113,0,0,No hay
EL2207,Elementos activos,3,4,MIE,15:00,16:50,VIE,15:00,16:50,EL2113,0,0,No hay
FI1101,Física general I,13,3,MIE,09:30,11:20,VIE,09:30,11:20,MA1102,0,0,No hay
FI1101,Física general I,8,3,JUE,15:00,16:50,MAR,15:00,16:50,MA1102,0,0,No hay
FI1101,Física general I,9,3,JUE,17:00,18:50,MAR,17:00,18:50,MA1102,0,0,No hay
FI1101,Física general I,4,3,JUE,09:30,11:20,MAR,09:30,11:20,MA1102,0,0,No hay
FI1101,Física general I,5,3,JUE,13:00,14:50,MAR,13:00,14:50,MA1102,0,0,No hay
FI1101,Física general I,14,3,MIE,09:30,11:20,VIE,09:30,11:20,MA1102,0,0,No hay
FI1101,Física general I,11,3,MIE,07:30,09:20,VIE,07:30,09:20,MA1102,0,0,No hay
FI1101,Física general I,1,3,JUE,07:30,09:20,MAR,07:30,09:20,MA1102,0,0,No hay
FI1101,Física general I,2,3,JUE,07:30,09:20,MAR,07:30,09:20,MA1102,0,0,No hay
FI1101,Física general I,3,3,JUE,09:30,11:20,MAR,09:30,11:20,MA1102,0,0,No hay
FI1101,Física general I,7,3,JUE,15:00,16:50,MAR,15:00,16:50,MA1102,0,0,No hay
FI1101,Física general I,17,3,MIE,15:00,16:50,VIE,15:00,16:50,MA1102,0,0,No hay
FI1101,Física general I,19,3,JUE,09:30,11:20,MAR,09:30,11:20,MA1102,0,0,No hay
FI1101,Física general I,15,3,MIE,13:00,14:50,VIE,13:00,14:50,MA1102,0,0,No hay
FI1101,Física general I,18,3,MIE,17:00,18:50,VIE,17:00,18:50,MA1102,0,0,No hay
FI1101,Física general I,20,3,MIE,09:30,11:20,VIE,09:30,11:20,MA1102,0,0,No hay
FI1101,Física general I,6,3,JUE,13:00,14:50,MAR,13:00,14:50,MA1102,0,0,No hay
FI1102,Física general II,3,3,JUE,09:30,11:20,MAR,09:30,11:20,FI1101,0,0,MA1102
FI1102,Física general II,9,3,MIE,15:00,16:50,VIE,15:00,16:50,FI1101,0,0,MA1102
FI1102,Física general II,1,3,JUE,07:30,09:20,MAR,07:30,09:20,FI1101,0,0,MA1102
FI1102,Física general II,6,3,MIE,07:30,09:20,VIE,07:30,09:20,FI1101,0,0,MA1102
FI1102,Física general II,11,3,JUE,09:30,11:20,MAR,09:30,11:20,FI1101,0,0,MA1102
FI1102,Física general II,8,3,MIE,13:00,14:50,VIE,13:00,14:50,FI1101,0,0,MA1102
FI1102,Física general II,7,3,MIE,09:30,11:20,VIE,09:30,11:20,FI1101,0,0,MA1102
FI1102,Física general II,4,3,JUE,13:00,14:50,MAR,13:00,14:50,FI1101,0,0,MA1102
FI1102,Física general II,5,3,JUE,17:00,18:50,MAR,17:00,18:50,FI1101,0,0,MA1102
FI1102,Física general II,10,3,JUE,07:30,09:20,MAR,07:30,09:20,FI1101,0,0,MA1102
FI1102,Física general II,2,3,JUE,09:30,11:20,MAR,09:30,11:20,FI1101,0,0,MA1102
FI1201,Laboratorio física general I,11,1,JUE,07:30,09:20,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,27,1,JUE,17:00,18:50,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,23,1,MIE,15:00,16:50,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,24,1,MIE,17:00,18:50,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,3,1,MAR,13:00,14:50,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,4,1,MAR,15:00,16:50,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,10,1,MIE,17:00,18:50,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,18,1,VIE,13:00,14:50,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,22,1,MIE,09:30,11:20,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,2,1,MAR,09:30,11:20,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,7,1,MIE,09:30,11:20,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,8,1,MIE,13:00,14:50,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,12,1,JUE,09:30,11:20,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,14,1,JUE,15:00,16:50,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,16,1,VIE,07:30,09:20,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,17,1,VIE,09:30,11:20,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,26,1,JUE,13:00,14:50,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,29,1,MAR,13:00,14:50,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,6,1,MIE,07:30,09:20,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,5,1,MAR,17:00,18:50,,,,No hay,0,0,FI1101
FI1201,Laboratorio física general I,9,1,MIE,15:00,16:50,,,,No hay,0,0,FI1101
